Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: E:\LANL\SF7.EXE
SF.INI file: E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\SF.INI  8-04-2020  11:52:20
Solution file E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\COAXTEST.T35.
Memory used for COAXTEST.T35 arrays:     146.068 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electric fields for a rectangular area with corners at:
(Rmin,Zmin) = (0.0,0.0)
(Rmax,Zmax) = (5,5)
R and Z increments:   100   100

      R             Z              Er            Ez            |E|           V 
    (cm)          (cm)           (V/cm)        (V/cm)        (V/cm)         (V)  
   4.95000       0.00000      1.971149E+02  0.000000E+00  1.971149E+02  9.767541E+00
   5.00000       0.00000      1.932086E+02  0.000000E+00  1.932086E+02  1.006592E-02
   0.00000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  5.000000E-02  5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.100000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.150000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.200000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.250000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.300000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.350000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.400000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.450000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.500000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.550000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.600000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.650000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.700000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.750000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.800000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.850000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.900000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.950000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.00000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.05000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.10000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.15000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.20000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.25000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.30000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.35000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.40000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.45000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.50000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.55000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.60000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.65000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.70000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.75000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.80000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.85000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.90000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.95000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.00000      5.000000E-02  5.575701E+02  1.251991E+01  5.577107E+02  9.994483E+02
   2.05000      5.000000E-02  5.330909E+02  1.024740E+01  5.331894E+02  9.722444E+02
   2.10000      5.000000E-02  5.115175E+02  7.861765E+00  5.115780E+02  9.461423E+02
   2.15000      5.000000E-02  4.930703E+02  5.902535E+00  4.931056E+02  9.210621E+02
   2.20000      5.000000E-02  4.771625E+02  4.065152E+00  4.771798E+02  8.968138E+02
   2.25000      5.000000E-02  4.632347E+02  2.519498E+00  4.632416E+02  8.733082E+02
   2.30000      5.000000E-02  4.515883E+02  1.160733E+00  4.515898E+02  8.504497E+02
   2.35000      5.000000E-02  4.414390E+02  4.919669E-03  4.414390E+02  8.281387E+02
   2.40000      5.000000E-02  4.326898E+02 -8.103130E-01  4.326905E+02  8.062862E+02
   2.45000      5.000000E-02  4.250916E+02 -1.553661E+00  4.250945E+02  7.848533E+02
   2.50000      5.000000E-02  4.184405E+02 -2.054825E+00  4.184456E+02  7.637655E+02
   2.55000      5.000000E-02  4.125393E+02 -2.490319E+00  4.125468E+02  7.429995E+02
   2.60000      5.000000E-02  4.072611E+02 -2.749406E+00  4.072704E+02  7.225048E+02
   2.65000      5.000000E-02  4.024435E+02 -2.952412E+00  4.024543E+02  7.022675E+02
   2.70000      5.000000E-02  3.980009E+02 -3.026778E+00  3.980124E+02  6.822574E+02
   2.75000      5.000000E-02  3.938136E+02 -3.057906E+00  3.938255E+02  6.624649E+02
